ZIP_CODE,rateChild,rateTeen
98001,30,45.8
98002,27.9,65.7
98003,27.6,56.9
98004,69.1,95
98005,74.6,95
98006,60.9,82.4
98007,67.7,91.8
98008,65.3,95
98010,35.7,43.3
98011,56.9,74.6
98014,33.4,60.5
98019,44.5,80.8
98022,17.5,31.5
98023,24.5,48.7
98024,29.6,59.8
98027,58.3,77.7
98028,61.4,76.7
98029,66.9,95
98030,25.7,55.3
98031,32.7,56.3
98032,30.5,74.6
98033,81.9,95
98034,58.7,73.1
98038,38.4,69.2
98039,45.1,76.7
98040,71.5,91.9
98042,31.1,48.1
98045,40.6,57.6
98047,24.2,91.9
98051,16.7,42.2
98052,90.1,95
98053,67.3,95
98055,41.9,66.8
98056,40.6,69.8
98057,24.5,56.9
98058,38.1,56.8
98059,58.8,95
98065,53.8,95
98070,53.9,73.2
98072,55,72.3
98074,69.3,95
98075,59.2,95
98077,47.3,61.9
98092,32.2,56.4
98101,83.1,95
98102,81,95
98103,90.9,67
98104,28.5,44.7
98105,69.4,95
98106,53.4,67
98107,81.8,94.1
98108,49.7,76.3
98109,77.5,95
98112,65,95
98115,79.3,95
98116,80.6,95
98117,86.2,95
98118,49.2,73.1
98119,82.4,95
98121,95,82.5
98122,56.8,67
98125,70.9,85.8
98126,60.6,82.7
98133,65,72.6
98134,-1,-1
98136,77.7,95
98144,51.4,74.1
98146,45.9,63.2
98148,44.1,82.3
98155,66,75.4
98158,-1,-1
98164,-1,-1
98166,48,64
98168,34.9,65.2
98177,79.7,76.3
98178,43.1,67
98188,31,72.5
98195,-1,-1
98198,35,66.3
98199,87.3,95
98224,-1,-1
98288,-1,-1
